lat,lon,yield_annual,genus,mat,map,fertilizer_n,planting_density,age,year
32.88,-82.21,0.2,Miscanthus,18.3,1140,0,10000,2,2010
32.88,-82.21,0.3,Miscanthus,18.3,1140,0,10000,2,2010
32.88,-82.21,0.4,Miscanthus,18.3,1140,0,10000,2,2010
32.88,-82.21,0.5,Miscanthus,18.3,1140,0,10000,2,2010
32.88,-82.21,3.25,Miscanthus,18.3,1140,0,10000,2,2010
32.88,-82.21,4.4833,Miscanthus,18.3,1140,0,10000,2,2010
32.88,-82.21,4.85,Miscanthus,18.3,1140,0,10000,2,2010
32.88,-82.21,5.3733,Miscanthus,18.3,1140,0,10000,2,2010
32.88,-82.21,0.05,Panicum,18.3,1140,0,6074068,2,2010
32.88,-82.21,0.2,Panicum,18.3,1140,0,6074068,2,2010
32.88,-82.21,9.4533,Panicum,18.3,1140,0,6074068,2,2010
32.88,-82.21,11.8364,Panicum,18.3,1140,0,6074068,2,2010
32.88,-82.21,12.3333,Panicum,18.3,1140,0,6074068,2,2010
32.88,-82.21,12.9167,Panicum,18.3,1140,0,6074068,2,2010
40.06,-88.19,0.25,Miscanthus,10.8,1043,0,10000,1,2009
40.06,-88.19,0.7,Miscanthus,10.8,1043,0,10000,1,2009
40.06,-88.19,1.8,Miscanthus,10.8,1043,0,10000,1,2009
40.06,-88.19,2.2,Miscanthus,10.8,1043,0,10000,1,2009
40.06,-88.19,3.5,Miscanthus,10.8,1043,0,10000,2,2010
40.06,-88.19,3.7,Miscanthus,10.8,1043,0,10000,2,2010
40.06,-88.19,4.4,Miscanthus,10.8,1043,0,10000,2,2010
40.06,-88.19,5,Miscanthus,10.8,1043,0,10000,2,2010
40.06,-88.19,17.5867,Miscanthus,10.8,1043,0,10000,3,2011
40.06,-88.19,18.4215,Miscanthus,10.8,1043,0,10000,2,2010
40.06,-88.19,19.2375,Miscanthus,10.8,1043,0,10000,2,2010
40.06,-88.19,20.3375,Miscanthus,10.8,1043,0,10000,3,2011
40.06,-88.19,20.4352,Miscanthus,10.8,1043,0,10000,2,2010
40.06,-88.19,23.8316,Miscanthus,10.8,1043,0,10000,3,2011
40.06,-88.19,27,Miscanthus,10.8,1043,0,10000,2,2010
40.06,-88.19,29.75,Miscanthus,10.8,1043,0,10000,3,2011
40.06,-88.19,0.1,Panicum,10.8,1043,0,6074068,1,2009
40.06,-88.19,0.2,Panicum,10.8,1043,0,6074068,1,2009
40.06,-88.19,0.2,Panicum,10.8,1043,0,6074068,1,2009
40.06,-88.19,0.3,Panicum,10.8,1043,0,6074068,2,2010
40.06,-88.19,0.3,Panicum,10.8,1043,0,6074068,1,2009
40.06,-88.19,0.7,Panicum,10.8,1043,0,6074068,2,2010
40.06,-88.19,0.8,Panicum,10.8,1043,0,6074068,2,2010
40.06,-88.19,1,Panicum,10.8,1043,0,6074068,2,2010
40.06,-88.19,5.2,Panicum,10.8,1043,0,6074068,2,2010
40.06,-88.19,6.4154,Panicum,10.8,1043,0,6074068,3,2011
40.06,-88.19,7.4,Panicum,10.8,1043,0,6074068,2,2010
40.06,-88.19,8,Panicum,10.8,1043,0,6074068,2,2010
40.06,-88.19,8.2778,Panicum,10.8,1043,0,6074068,3,2011
40.06,-88.19,9.3385,Panicum,10.8,1043,0,6074068,3,2011
40.06,-88.19,13.3,Panicum,10.8,1043,0,6074068,3,2011
40.06,-88.19,15,Panicum,10.8,1043,0,6074068,2,2010
38.13,-84.5,1,Miscanthus,12.9,1166,0,10000,2,2010
38.13,-84.5,1.1,Miscanthus,12.9,1166,0,10000,2,2010
38.13,-84.5,1.15,Miscanthus,12.9,1166,0,10000,2,2010
38.13,-84.5,1.4,Miscanthus,12.9,1166,0,10000,2,2010
38.13,-84.5,11.6039,Miscanthus,12.9,1166,0,10000,3,2011
38.13,-84.5,12.7875,Miscanthus,12.9,1166,0,10000,2,2010
38.13,-84.5,14.3188,Miscanthus,12.9,1166,0,10000,2,2010
38.13,-84.5,15.3357,Miscanthus,12.9,1166,0,10000,2,2010
38.13,-84.5,15.372,Miscanthus,12.9,1166,0,10000,3,2011
38.13,-84.5,18.3151,Miscanthus,12.9,1166,0,10000,2,2010
38.13,-84.5,18.4563,Miscanthus,12.9,1166,0,10000,3,2011
38.13,-84.5,18.5469,Miscanthus,12.9,1166,0,10000,3,2011
38.13,-84.5,0,Panicum,12.9,1166,0,6074068,2,2010
38.13,-84.5,0.05,Panicum,12.9,1166,0,6074068,2,2010
38.13,-84.5,0.1,Panicum,12.9,1166,0,6074068,2,2010
38.13,-84.5,0.3,Panicum,12.9,1166,0,6074068,2,2010
38.13,-84.5,9.1208,Panicum,12.9,1166,0,6074068,3,2011
