checked,sitename,city,lat,lon,scientificname,commonname,genus,cultivar,author,citation_year,treatment,date,time,month,year,raw_date,dateloc,trait,mean,units,n,statname,stat,notes,entity,method
checked,NA,Booneville,35.08,-93.98,Panicum virgatum,switchgrass,Panicum,Alamo,Burner,2009,observational,Unrecognized Value for Date Level of Confidence,Time Level of Confidence Unknown,NA,NA,2004-08-30 19:00:00 -0500,6.5,leaf_ash,3.38,percent,4,SE,0.240,NA,NA,NA
checked,SoyFACE,Urbana,40.04,-88.24,Panicum virgatum,switchgrass,Panicum,Cave-In-Rock,Dohlman,2009,observational,Season: [UNRECOGNIZED SEASON MONTH] 2004,Time Level of Confidence Unknown,NA,2004,2004-02-29 18:00:00 -0600,7,SLA,11.7,m2 kg-1,4,SE,0.120,"pairwise sp comparison SE = (15.3-11.7)/(qt(1-0.0001/2,4)*2)",NA,NA
checked,SoyFACE,Urbana,40.04,-88.24,Panicum virgatum,switchgrass,Panicum,Cave-In-Rock,Dohlman,2009,observational,Season: [UNRECOGNIZED SEASON MONTH] 2004,Time Level of Confidence Unknown,NA,2004,2004-02-29 18:00:00 -0600,7,stomatal_conductance,6.88,kg m-2 s-1,4,SE,0.056,"pairwise sp comparison SE = (155-124)/(qt(1-0.0001/2,4)*2)",NA,NA
checked,EBI Energy farm,Urbana,40.06,-88.20,Panicum virgatum,switchgrass,Panicum,Cave-In-Rock,Heaton,2008,observational - PAVI2,"Week of Apr 9, 2005",Time Level of Confidence Unknown,4,2005,2005-04-09 19:00:00 -0500,5.5,LAI,0.028,m2 leaf m-2 ground,18,SE,0.275,NA,NA,NA
checked,EBI Energy farm,Urbana,40.06,-88.20,Panicum virgatum,switchgrass,Panicum,Cave-In-Rock,Heaton,2008,observational - PAVI2,"Week of Apr 30, 2005",Time Level of Confidence Unknown,4,2005,2005-04-30 19:00:00 -0500,5.5,LAI,0.2,m2 leaf m-2 ground,18,SE,0.275,NA,NA,NA
checked,EBI Energy farm,Urbana,40.06,-88.20,Panicum virgatum,switchgrass,Panicum,Cave-In-Rock,Heaton,2008,observational - PAVI2,"Week of May 13, 2005",Time Level of Confidence Unknown,5,2005,2005-05-13 19:00:00 -0500,5.5,LAI,1.11,m2 leaf m-2 ground,18,SE,0.275,NA,NA,NA
checked,EBI Energy farm,Urbana,40.06,-88.20,Panicum virgatum,switchgrass,Panicum,Cave-In-Rock,Heaton,2008,observational - PAVI2,"Week of May 21, 2005",Time Level of Confidence Unknown,5,2005,2005-05-21 19:00:00 -0500,5.5,LAI,3.03,m2 leaf m-2 ground,18,SE,0.248,NA,NA,NA
checked,EBI Energy farm,Urbana,40.06,-88.20,Panicum virgatum,switchgrass,Panicum,Cave-In-Rock,Heaton,2008,observational - PAVI2,"Week of May 26, 2005",Time Level of Confidence Unknown,5,2005,2005-05-26 19:00:00 -0500,5.5,LAI,2.6,m2 leaf m-2 ground,18,SE,0.275,NA,NA,NA
checked,EBI Energy farm,Urbana,40.06,-88.20,Panicum virgatum,switchgrass,Panicum,Cave-In-Rock,Heaton,2008,observational - PAVI2,"Week of May 26, 2005",Time Level of Confidence Unknown,5,2005,2005-05-26 19:00:00 -0500,5.5,LAI,3.23,m2 leaf m-2 ground,18,SE,0.248,NA,NA,NA
checked,EBI Energy farm,Urbana,40.06,-88.20,Panicum virgatum,switchgrass,Panicum,Cave-In-Rock,Heaton,2008,observational - PAVI2,"Week of Jun 5, 2005",Time Level of Confidence Unknown,6,2005,2005-06-05 19:00:00 -0500,5.5,LAI,3.5,m2 leaf m-2 ground,18,SE,0.275,NA,NA,NA
checked,EBI Energy farm,Urbana,40.06,-88.20,Panicum virgatum,switchgrass,Panicum,Cave-In-Rock,Heaton,2008,observational - PAVI2,"Week of Jun 14, 2005",Time Level of Confidence Unknown,6,2005,2005-06-14 19:00:00 -0500,5.5,LAI,5.54,m2 leaf m-2 ground,18,SE,0.275,NA,NA,NA
checked,EBI Energy farm,Urbana,40.06,-88.20,Panicum virgatum,switchgrass,Panicum,Cave-In-Rock,Heaton,2008,observational - PAVI2,"Week of Jun 25, 2005",Time Level of Confidence Unknown,6,2005,2005-06-25 19:00:00 -0500,5.5,LAI,6.01,m2 leaf m-2 ground,18,SE,0.275,NA,NA,NA
checked,EBI Energy farm,Urbana,40.06,-88.20,Panicum virgatum,switchgrass,Panicum,Cave-In-Rock,Heaton,2008,observational - PAVI2,"Week of Jul 3, 2005",Time Level of Confidence Unknown,7,2005,2005-07-03 19:00:00 -0500,5.5,LAI,5.9,m2 leaf m-2 ground,18,SE,0.275,NA,NA,NA
checked,EBI Energy farm,Urbana,40.06,-88.20,Panicum virgatum,switchgrass,Panicum,Cave-In-Rock,Heaton,2008,observational - PAVI2,"Week of Jul 16, 2005",Time Level of Confidence Unknown,7,2005,2005-07-16 19:00:00 -0500,5.5,LAI,6.32,m2 leaf m-2 ground,18,SE,0.275,NA,NA,NA
checked,EBI Energy farm,Urbana,40.06,-88.20,Panicum virgatum,switchgrass,Panicum,Cave-In-Rock,Heaton,2008,observational - PAVI2,2005 Aug 13,Time Level of Confidence Unknown,8,2005,2005-08-13 19:00:00 -0500,5,LAI,6.68,m2 leaf m-2 ground,18,SE,0.303,NA,NA,NA
checked,EBI Energy farm,Urbana,40.06,-88.20,Panicum virgatum,switchgrass,Panicum,Cave-In-Rock,Heaton,2008,observational - PAVI2,"Week of Aug 23, 2005",Time Level of Confidence Unknown,8,2005,2005-08-23 19:00:00 -0500,5.5,LAI,5.39,m2 leaf m-2 ground,18,SE,0.303,NA,NA,NA
checked,EBI Energy farm,Urbana,40.06,-88.20,Panicum virgatum,switchgrass,Panicum,Cave-In-Rock,Heaton,2008,observational - PAVI2,"Week of Aug 29, 2005",Time Level of Confidence Unknown,8,2005,2005-08-29 19:00:00 -0500,5.5,LAI,6.3,m2 leaf m-2 ground,18,SE,0.275,NA,NA,NA
checked,Konza Prairie Research Natural Area,Konza,39.01,-96.58,Panicum virgatum,switchgrass,Panicum,Unknown,Knapp,1985,burned,"Week of Jun 2, 1983",Time Level of Confidence Unknown,6,1983,1983-06-02 19:00:00 -0500,5.5,SLA,18.6,m2 kg-1,10,SE,0.480,NA,NA,NA
checked,Konza Prairie Research Natural Area,Konza,39.01,-96.58,Panicum virgatum,switchgrass,Panicum,Unknown,Knapp,1985,unburned,"Week of Jun 2, 1983",Time Level of Confidence Unknown,6,1983,1983-06-02 19:00:00 -0500,5.5,SLA,19.5,m2 kg-1,10,SE,1.050,NA,NA,NA
checked,Konza Prairie Research Natural Area,Konza,39.01,-96.58,Panicum virgatum,switchgrass,Panicum,Unknown,Knapp,1985,burned,"Week of Jun 2, 1983",Time Level of Confidence Unknown,6,1983,1983-06-02 19:00:00 -0500,5.5,leafTh,275,um,5,SE,7.000,NA,NA,NA
checked,Konza Prairie Research Natural Area,Konza,39.01,-96.58,Panicum virgatum,switchgrass,Panicum,Unknown,Knapp,1985,unburned,"Week of Jun 2, 1983",Time Level of Confidence Unknown,6,1983,1983-06-02 19:00:00 -0500,5.5,leafTh,186,um,5,SE,6.000,NA,NA,NA
checked,Konza Prairie Research Natural Area,Konza,39.01,-96.58,Panicum virgatum,switchgrass,Panicum,Unknown,Knapp,1985,burned,"Week of Jun 2, 1983",Time Level of Confidence Unknown,6,1983,1983-06-02 19:00:00 -0500,5.5,leaf_width,10.2,mm,5,SE,0.270,NA,NA,NA
checked,Konza Prairie Research Natural Area,Konza,39.01,-96.58,Panicum virgatum,switchgrass,Panicum,Unknown,Knapp,1985,unburned,"Week of Jun 2, 1983",Time Level of Confidence Unknown,6,1983,1983-06-02 19:00:00 -0500,5.5,leaf_width,5.87,mm,5,SE,0.230,NA,NA,NA
checked,NA,Booneville,35.08,-93.98,Panicum virgatum,switchgrass,Panicum,Alamo,Burner,2009,observational,October 2005,Time Level of Confidence Unknown,10,2005,2005-10-14 19:00:00 -0500,6,stem_ash,1.28,percent,4,SE,0.070,NA,NA,NA
checked,NA,Booneville,35.08,-93.98,Panicum virgatum,switchgrass,Panicum,Alamo,Burner,2009,observational,Unrecognized Value for Date Level of Confidence,Time Level of Confidence Unknown,NA,NA,2004-08-30 19:00:00 -0500,6.5,CelluloseL,33.7,percent,4,SE,2.220,NA,NA,NA
checked,NA,Booneville,35.08,-93.98,Panicum virgatum,switchgrass,Panicum,Alamo,Burner,2009,observational,October 2005,Time Level of Confidence Unknown,10,2005,2005-10-14 19:00:00 -0500,6,CelluloseL,31.1,percent,4,SE,1.110,NA,NA,NA
checked,NA,Booneville,35.08,-93.98,Panicum virgatum,switchgrass,Panicum,Alamo,Burner,2009,observational,Unrecognized Value for Date Level of Confidence,Time Level of Confidence Unknown,NA,NA,2004-08-30 19:00:00 -0500,6.5,CelluloseS,47.6,percent,4,SE,4.260,NA,NA,NA
checked,NA,Booneville,35.08,-93.98,Panicum virgatum,switchgrass,Panicum,Alamo,Burner,2009,observational,October 2005,Time Level of Confidence Unknown,10,2005,2005-10-14 19:00:00 -0500,6,CelluloseS,42.6,percent,4,SE,1.670,NA,NA,NA
checked,NA,Booneville,35.08,-93.98,Panicum virgatum,switchgrass,Panicum,Alamo,Burner,2009,observational,Unrecognized Value for Date Level of Confidence,Time Level of Confidence Unknown,NA,NA,2004-08-30 19:00:00 -0500,6.5,IVDMDL,48.9,percent,4,SE,1.060,NA,NA,NA
checked,NA,Booneville,35.08,-93.98,Panicum virgatum,switchgrass,Panicum,Alamo,Burner,2009,observational,October 2005,Time Level of Confidence Unknown,10,2005,2005-10-14 19:00:00 -0500,6,IVDMDL,44.9,percent,4,SE,2.120,NA,NA,NA
checked,NA,Booneville,35.08,-93.98,Panicum virgatum,switchgrass,Panicum,Alamo,Burner,2009,observational,Unrecognized Value for Date Level of Confidence,Time Level of Confidence Unknown,NA,NA,2004-08-30 19:00:00 -0500,6.5,IVDMDS,35.9,percent,4,SE,1.670,NA,NA,NA
checked,NA,Booneville,35.08,-93.98,Panicum virgatum,switchgrass,Panicum,Alamo,Burner,2009,observational,October 2005,Time Level of Confidence Unknown,10,2005,2005-10-14 19:00:00 -0500,6,IVDMDS,33,percent,4,SE,1.300,NA,NA,NA
checked,NA,Booneville,35.08,-93.98,Panicum virgatum,switchgrass,Panicum,Alamo,Burner,2009,observational,Unrecognized Value for Date Level of Confidence,Time Level of Confidence Unknown,NA,NA,2004-08-30 19:00:00 -0500,6.5,leaf_starch,3.65,percent,4,SE,0.650,NA,NA,NA
checked,NA,Booneville,35.08,-93.98,Panicum virgatum,switchgrass,Panicum,Alamo,Burner,2009,observational,October 2005,Time Level of Confidence Unknown,10,2005,2005-10-14 19:00:00 -0500,6,leaf_starch,1.29,percent,4,SE,0.150,NA,NA,NA
