checked,sitename,city,lat,lon,scientificname,commonname,genus,cultivar,author,citation_year,treatment,date,time,month,year,raw_date,dateloc,trait,mean,units,n,statname,stat,notes,entity,method
checked,NA,Booneville,35.08,-93.98,Miscanthus sinensis,Chinese silvergrass,Miscanthus,MXG by SAOF hybrid,Burner,2009,observational,October 2005,Time Level of Confidence Unknown,10,2005,2005-10-14 19:00:00 -0500,6,stem_ash,0.75,percent,4,SE,0.020,NA,NA,NA
checked,NA,Kefalonia,38.17,20.57,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Dalianis,1994,NA,1992 Nov 4 (Europe/Athens),[time unspecified for yields],11,1992,1992-11-03 18:00:00 -0600,5,Ayield,31.3,Mg/ha/yr,NA,NA,[missing],average of all treatments,NA,NA
checked,NA,Kefalonia,38.17,20.57,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Dalianis,1994,NA,1994 Jan 28 (Europe/Athens),[time unspecified for yields],1,1994,1994-01-27 18:00:00 -0600,5,Ayield,20.8,Mg/ha/yr,NA,NA,[missing],average of two treatments,NA,NA
checked,NA,Kefalonia,38.17,20.57,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Dalianis,1994,NA,1993 Nov 26 (Europe/Athens),[time unspecified for yields],11,1993,1993-11-25 18:00:00 -0600,5,Ayield,33.8,Mg/ha/yr,NA,NA,[missing],average of two treatments,NA,NA
checked,NA,Kefalonia,38.17,20.57,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Dalianis,1994,NA,1993 Feb 17 (Europe/Athens),[time unspecified for yields],2,1993,1993-02-16 18:00:00 -0600,5,Ayield,23.3,Mg/ha/yr,NA,NA,[missing],average of two treatments,NA,NA
checked,NA,Kefalonia,38.17,20.57,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Dalianis,1994,NA,1993 Dec 10 (Europe/Athens),[time unspecified for yields],12,1993,1993-12-09 18:00:00 -0600,5,Ayield,30.6,Mg/ha/yr,NA,NA,[missing],average of all treatments,NA,NA
checked,NA,Kefalonia,38.17,20.57,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,Elephant grass,Dalianis,1994,NA,1992 Nov 4 (Europe/Athens),[time unspecified for yields],11,1992,1992-11-03 18:00:00 -0600,5,Ayield,36.7,Mg/ha/yr,NA,NA,[missing],average of two treatments,NA,NA
checked,NA,Kefalonia,38.17,20.57,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,Elephant grass,Dalianis,1994,NA,1993 Feb 17 (Europe/Athens),[time unspecified for yields],2,1993,1993-02-16 18:00:00 -0600,5,Ayield,18,Mg/ha/yr,NA,NA,[missing],average of two treatments,NA,NA
checked,NA,Kefalonia,38.17,20.57,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,Elephant grass,Dalianis,1994,NA,1993 Dec 10 (Europe/Athens),[time unspecified for yields],12,1993,1993-12-09 18:00:00 -0600,5,Ayield,36.7,Mg/ha/yr,NA,NA,[missing],average of two treatments,NA,NA
checked,NA,Kefalonia,38.17,20.57,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,Elephant grass,Dalianis,1994,NA,1992 Nov 4 (Europe/Athens),[time unspecified for yields],11,1992,1992-11-03 18:00:00 -0600,5,Ayield,16.5,Mg/ha/yr,NA,NA,[missing],average of all treatments,NA,NA
checked,NA,Kefalonia,38.17,20.57,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,Elephant grass,Dalianis,1994,NA,1991 Nov 29 (Europe/Athens),[time unspecified for yields],11,1991,1991-11-28 18:00:00 -0600,5,Ayield,18.7,Mg/ha/yr,NA,NA,[missing],average of all treatments,NA,NA
checked,NA,Kefalonia,38.17,20.57,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Dalianis,1994,NA,1992 Nov 4 (Europe/Athens),[time unspecified for yields],11,1992,1992-11-03 18:00:00 -0600,5,Ayield,31.8,Mg/ha/yr,NA,NA,[missing],average of two treatments,NA,NA
checked,NA,Kefalonia,38.17,20.57,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,Elephant grass,Dalianis,1994,NA,1992 Jan 24 (Europe/Athens),[time unspecified for yields],1,1992,1992-01-23 18:00:00 -0600,5,Ayield,22.3,Mg/ha/yr,NA,NA,[missing],average of two treatments,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis Hybrid,NA,Miscanthus,EMI-09,Clifton-Brown,2002,Observational,1999 Nov 20 (Europe/Berlin),[time unspecified for yields],11,1999,1999-11-19 18:00:00 -0600,5,Ayield,10.3,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis Hybrid,NA,Miscanthus,EMI-10,Clifton-Brown,2002,Observational,1999 Nov 20 (Europe/Berlin),[time unspecified for yields],11,1999,1999-11-19 18:00:00 -0600,5,Ayield,19.1,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis,Chinese silvergrass,Miscanthus,EMI-11,Clifton-Brown,2002,Observational,1999 Nov 20 (Europe/Berlin),[time unspecified for yields],11,1999,1999-11-19 18:00:00 -0600,5,Ayield,12.8,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis,Chinese silvergrass,Miscanthus,EMI-12,Clifton-Brown,2002,Observational,1999 Nov 20 (Europe/Berlin),[time unspecified for yields],11,1999,1999-11-19 18:00:00 -0600,5,Ayield,10.9,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
checked,Ihinger Hof,Stuttgart,48.74,8.92,Miscanthus sinensis,Chinese silvergrass,Miscanthus,EMI-13,Clifton-Brown,2002,Observational,1999 Nov 20 (Europe/Berlin),[time unspecified for yields],11,1999,1999-11-19 18:00:00 -0600,5,Ayield,12.4,Mg/ha/yr,NA,NA,[missing],NA,NA,NA
