checked,sitename,city,lat,lon,scientificname,commonname,genus,cultivar,author,citation_year,treatment,date,time,month,year,raw_date,dateloc,trait,mean,units,n,statname,stat,notes,entity,method
checked,central Otztal Alps,Obergurgl,46.75,10.92,Populus spp.,poplar,Populus,NA,Korner,1987,Observational,Unrecognized Value for Date Level of Confidence,07:00:00 (Europe/Rome),NA,NA,1984-08-01 00:00:00 -0500,6.5,r_fract,0.235,fraction,5,SE,0.001,NA,NA,NA
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Populus deltoides,eastern cottonwood,Populus,NA,Serbin,2012,warm temperature regime (25/18),NA,NA,NA,NA,NA,NA,stomatal_conductance,7.59,kg m-2 s-1,1,NA,[missing],WCW_1_32_25C_REP1,NA,NA
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Populus deltoides,eastern cottonwood,Populus,NA,Serbin,2012,warm temperature regime (25/18),NA,NA,NA,NA,NA,NA,stomatal_conductance,12.3,kg m-2 s-1,1,NA,[missing],WCW_1_20_25C_REP1,NA,NA
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Populus deltoides,eastern cottonwood,Populus,NA,Serbin,2012,hot temperature regime (30/23),NA,NA,NA,NA,NA,NA,stomatal_conductance,19.3,kg m-2 s-1,1,NA,[missing],KCW_5_5_30C_REP1,NA,NA
checked,DNR Meridian Seed Orchard,NA,47.04,-122.90,Populus trichocarpa × deltoides,poplar,Populus,44-136,Scarascia,1997,Observational,May 1985,22:00:00 (America/Los_Angeles),5,1985,1985-06-01 00:00:00 -0500,6,leaf_biomass_fraction,0.620,fraction,NA,NA,[missing],NA,NA,NA
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Populus deltoides,eastern cottonwood,Populus,NA,Serbin,2012,hot temperature regime (30/23),NA,NA,NA,NA,NA,NA,stomatal_conductance,33.8,kg m-2 s-1,1,NA,[missing],MCW_5_4_30C_REP1,NA,NA
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Populus deltoides,eastern cottonwood,Populus,NA,Serbin,2012,cool temperature regime (20/13),NA,NA,NA,NA,NA,NA,stomatal_conductance,36.8,kg m-2 s-1,1,NA,[missing],MCW_3_56_20C_REP1,NA,NA
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Populus deltoides,eastern cottonwood,Populus,NA,Serbin,2012,cool temperature regime (20/13),NA,NA,NA,NA,NA,NA,stomatal_conductance,41.2,kg m-2 s-1,1,NA,[missing],MCW_6_6_20C_REP1,NA,NA
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Populus deltoides,eastern cottonwood,Populus,NA,Serbin,2012,cool temperature regime (20/13),NA,NA,NA,NA,NA,NA,stomatal_conductance,24.8,kg m-2 s-1,1,NA,[missing],WCW_3_21_20C_REP2,NA,NA
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Populus deltoides,eastern cottonwood,Populus,NA,Serbin,2012,cool temperature regime (20/13),NA,NA,NA,NA,NA,NA,stomatal_conductance,15.3,kg m-2 s-1,1,NA,[missing],WCW_3_22_20C_REP2,NA,NA
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Populus tremuloides,quaking aspen,Populus,NA,Serbin,2012,warm temperature regime (25/18),NA,NA,NA,NA,NA,NA,stomatal_conductance,8.28,kg m-2 s-1,1,NA,[missing],NASP_1_42_25C_REP1,NA,NA
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Populus tremuloides,quaking aspen,Populus,NA,Serbin,2012,warm temperature regime (25/18),NA,NA,NA,NA,NA,NA,stomatal_conductance,6.43,kg m-2 s-1,1,NA,[missing],NASP_1_42_25C_REP2,NA,NA
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Populus tremuloides,quaking aspen,Populus,NA,Serbin,2012,warm temperature regime (25/18),NA,NA,NA,NA,NA,NA,stomatal_conductance,9.73,kg m-2 s-1,1,NA,[missing],NASP_4_8_25C_REP1,NA,NA
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Populus tremuloides,quaking aspen,Populus,NA,Serbin,2012,warm temperature regime (25/18),NA,NA,NA,NA,NA,NA,stomatal_conductance,3.77,kg m-2 s-1,1,NA,[missing],SASP_4_7_25C_REP1,NA,NA
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Populus tremuloides,quaking aspen,Populus,NA,Serbin,2012,hot temperature regime (30/23),NA,NA,NA,NA,NA,NA,stomatal_conductance,9.53,kg m-2 s-1,1,NA,[missing],NASP_2_33_30C_REP1,NA,NA
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Populus tremuloides,quaking aspen,Populus,NA,Serbin,2012,hot temperature regime (30/23),NA,NA,NA,NA,NA,NA,stomatal_conductance,7.58,kg m-2 s-1,1,NA,[missing],NASP_2_38_30C_REP1,NA,NA
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Populus tremuloides,quaking aspen,Populus,NA,Serbin,2012,cool temperature regime (20/13),NA,NA,NA,NA,NA,NA,stomatal_conductance,7.30,kg m-2 s-1,1,NA,[missing],NASP_6_16_20C_REP1,NA,NA
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Populus tremuloides,quaking aspen,Populus,NA,Serbin,2012,cool temperature regime (20/13),NA,NA,NA,NA,NA,NA,stomatal_conductance,10.1,kg m-2 s-1,1,NA,[missing],NASP_6_TP21_20C_REP1,NA,NA
checked,University of Wisconsin Biotron,Madison,43.08,-89.42,Populus tremuloides,quaking aspen,Populus,NA,Serbin,2012,cool temperature regime (20/13),NA,NA,NA,NA,NA,NA,stomatal_conductance,10.7,kg m-2 s-1,1,NA,[missing],NASP_6_TP21_20C_REP2,NA,NA
