checked,sitename,city,lat,lon,scientificname,commonname,genus,cultivar,author,citation_year,treatment,date,time,month,year,raw_date,dateloc,trait,mean,units,n,statname,stat,notes,entity,method
checked,Material Site (MS) 117,Brooks Range,68.07,-149.75,Salix pulchra,tealeaf willow,Salix,NA,Matthes-Sears,1988,observational - Matthes-Sears,June 1985,21:00:00 (America/Anchorage),6,1985,1985-06-26 00:00:00 -0500,6,leafN,2.13,percent,3,NA,[missing],NA,NA,NA
checked,Material Site (MS) 117,Brooks Range,68.07,-149.75,Salix pulchra,tealeaf willow,Salix,NA,Matthes-Sears,1988,observational - Matthes-Sears,June 1985,21:00:00 (America/Anchorage),6,1985,1985-06-26 00:00:00 -0500,6,LA,1.2,cm2 / plant,3,NA,[missing],NA,NA,NA
checked,Material Site (MS) 117,Brooks Range,68.07,-149.75,Salix pulchra,tealeaf willow,Salix,NA,Matthes-Sears,1988,Fertilization_NP,June 1985,Time Level of Confidence Unknown,6,1985,1985-06-27 19:00:00 -0500,6,leafN,3.27,percent,5,HSD,9.001,HSD=(Sum of ALL (HSD)^2)^(0.5),NA,NA
checked,"St.Lawrence, Quebec","St.Lawrence, Quebec",45.13,-74.13,Salix miyabeana,willow,Salix,SX64,Labrecque,2005,Observational,1999,20:00:00 (America/Montreal),NA,1999,1999-06-14 19:00:00 -0500,8,DBH,0.634,cm,NA,NA,[missing],NA,NA,NA
checked,"St.Lawrence, Quebec","St.Lawrence, Quebec",45.13,-74.13,Salix miyabeana,willow,Salix,SX67,Labrecque,2005,Observational,1999,20:00:00 (America/Montreal),NA,1999,1999-06-14 19:00:00 -0500,8,DBH,0.677,cm,NA,NA,[missing],NA,NA,NA
checked,"St.Lawrence, Quebec","St.Lawrence, Quebec",45.13,-74.13,Salix viminalis,basket willow,Salix,NA,Labrecque,2005,Observational,1999,20:00:00 (America/Montreal),NA,1999,1999-06-14 19:00:00 -0500,8,DBH,0.468,cm,NA,NA,[missing],NA,NA,NA
checked,"St.Lawrence, Quebec","St.Lawrence, Quebec",45.13,-74.13,Salix dasyclados,willow,Salix,SV1,Labrecque,2005,Observational,1999,20:00:00 (America/Montreal),NA,1999,1999-06-14 19:00:00 -0500,8,DBH,0.504,cm,NA,NA,[missing],NA,NA,NA
checked,"St.Lawrence, Quebec","St.Lawrence, Quebec",45.13,-74.13,Salix dasyclados,willow,Salix,SV1,Labrecque,2005,Observational,2000,20:00:00 (America/Montreal),NA,2000,2000-06-14 19:00:00 -0500,8,DBH,1.55,cm,NA,NA,[missing],NA,NA,NA
checked,"St.Lawrence, Quebec","St.Lawrence, Quebec",45.13,-74.13,Salix miyabeana,willow,Salix,SX64,Labrecque,2005,Observational,2000,20:00:00 (America/Montreal),NA,2000,2000-06-14 19:00:00 -0500,8,DBH,1.72,cm,NA,NA,[missing],NA,NA,NA
checked,"St.Lawrence, Quebec","St.Lawrence, Quebec",45.13,-74.13,Salix miyabeana,willow,Salix,SX67,Labrecque,2005,Observational,2000,20:00:00 (America/Montreal),NA,2000,2000-06-14 19:00:00 -0500,8,DBH,1.68,cm,NA,NA,[missing],NA,NA,NA
checked,"St.Lawrence, Quebec","St.Lawrence, Quebec",45.13,-74.13,Salix viminalis,basket willow,Salix,NA,Labrecque,2005,Observational,2000,20:00:00 (America/Montreal),NA,2000,2000-06-14 19:00:00 -0500,8,DBH,0.988,cm,NA,NA,[missing],NA,NA,NA
checked,"St.Lawrence, Quebec","St.Lawrence, Quebec",45.13,-74.13,Salix miyabeana,willow,Salix,SX64,Labrecque,2005,Observational,2000,20:00:00 (America/Montreal),NA,2000,2000-06-14 19:00:00 -0500,8,DBH,3.4,cm,NA,NA,[missing],NA,NA,NA
checked,"St.Lawrence, Quebec","St.Lawrence, Quebec",45.13,-74.13,Salix miyabeana,willow,Salix,SX67,Labrecque,2005,Observational,2000,20:00:00 (America/Montreal),NA,2000,2000-06-14 19:00:00 -0500,8,DBH,3.24,cm,NA,NA,[missing],NA,NA,NA
checked,"St.Lawrence, Quebec","St.Lawrence, Quebec",45.13,-74.13,Salix viminalis,basket willow,Salix,NA,Labrecque,2005,Observational,2000,20:00:00 (America/Montreal),NA,2000,2000-06-14 19:00:00 -0500,8,DBH,2.51,cm,NA,NA,[missing],NA,NA,NA
checked,"St.Lawrence, Quebec","St.Lawrence, Quebec",45.13,-74.13,Salix miyabeana,willow,Salix,SX64,Labrecque,2005,Observational,2000,20:00:00 (America/Montreal),NA,2000,2000-06-14 19:00:00 -0500,8,DBH,4.23,cm,NA,NA,[missing],NA,NA,NA
